2026-09-15 23:16:12 | INFO | main_orchestrator | ==================================================
2026-09-15 23:16:12 | INFO | main_orchestrator | Starting Automated Data Pipeline Run
2026-09-15 23:16:12 | INFO | main_orchestrator | ==================================================
2026-09-15 23:16:12 | INFO | ingest | Loading raw dataset from 'data/raw/AB_NYC_2019.csv'....
2026-09-15 23:16:12 | INFO | ingest | Successfully loaded dataset with 48895 rows and 16 columns.
2026-09-15 23:16:12 | INFO | clean | Starting data cleaning process....
2026-09-15 23:16:12 | INFO | clean | Filled missing values in 'reviews_per_month' with median: 0.72
2026-09-15 23:16:12 | INFO | clean | Filled missing values in text column 'name' with 'Unknown'
2026-09-15 23:16:12 | INFO | clean | Filled missing values in text column 'host_name' with 'Unknown'
2026-09-15 23:16:12 | INFO | clean | Filled missing values in text column 'last_review' with 'Unknown'
2026-09-15 23:16:12 | INFO | clean | Cleaning complete! Removed 0 duplicate rows
2026-09-15 23:16:12 | INFO | ingest | Loading raw dataset from 'data/processed/baseline.csv'....
2026-09-15 23:16:12 | INFO | ingest | Successfully loaded dataset with 10000 rows and 16 columns.
2026-09-15 23:16:12 | INFO | drift_detector | Running data drift detection analysis....
2026-09-15 23:16:12 | INFO | drift_detector | Column 'latitude' is stable.
2026-09-15 23:16:12 | INFO | drift_detector | Column 'longitude' is stable.
2026-09-15 23:16:12 | INFO | drift_detector | Column 'price' is stable.
2026-09-15 23:16:12 | INFO | drift_detector | Column 'minimum_nights' is stable.
2026-09-15 23:16:12 | WARNING | drift_detector | Column 'number_of_reviews' drifted by 48.61%! (Threshold: 15.0%)
2026-09-15 23:16:12 | WARNING | drift_detector | Column 'reviews_per_month' drifted by 41.39%! (Threshold: 15.0%)
2026-09-15 23:16:12 | WARNING | drift_detector | Column 'calculated_host_listings_count' drifted by 179.35%! (Threshold: 15.0%)
2026-09-15 23:16:12 | INFO | drift_detector | Column 'availability_365' is stable.
2026-09-15 23:16:12 | INFO | database | Saving cleaned data to SQL database (Append Mode + Versioning), table: 'cleaned_airbnb_data'....
2026-09-15 23:16:13 | INFO | database | Successfully appended 48895 rows into table 'cleaned_airbnb_data' with Batch ID: 20260915_231612.
2026-09-15 23:16:13 | INFO | main_orchestrator | 
Pipeline execution finished successfully!
2026-09-15 23:16:13 | INFO | main_orchestrator | Summary audit report saved to: reports/pipeline_report_20260915_231612.json
2026-09-15 23:16:13 | INFO | main_orchestrator | ==================================================
